country_name,neighbouring_country
France,Belgium
France,Spain
France,Germany
France,Switzerland
France,Italy
Germany,Netherlands
Germany,Belgium
Germany,Switzerland
Germany,Austria
Germany,Poland
Netherlands,Belgium
Netherlands,Germany
Belgium,Netherlands
Belgium,Germany
Belgium,France
Switzerland,Italy
Switzerland,France
Switzerland,Germany
Switzerland,Austria
Estonia,Latvia
Hungary,Austria
Hungary,Slovenia
Austria,Germany
Austria,Slovenia
Austria,Hungary
Austria,Italy
Austria,Switzerland
Poland,Germany
Spain,France
Spain,Portugal
Italy,Austria
Italy,France
Italy,Slovenia
Italy,Switzerland
Portugal,Spain
Slovenia,Italy
Slovenia,Hungary
Slovenia,Austria
